CREATE TABLE IF NOT EXISTS `ressource_idole` (
  `ID_idle` int(11) NOT NULL,
  `ID_ress` int(11) DEFAULT NULL,
  `nbre` int(11) DEFAULT NULL
);
INSERT INTO `ressource_idole` (`ID_idle`, `ID_ress`, `nbre`) VALUES
(50, 110, 3),
(51, 110, 1),
(52, 110, 1),
(53, 161, 10),
(54, 110, 2),
(55, 110, 1),
(56, 257, 10),
(57, 89, 1),
(58, 365, 10),
(59, 110, 2),
(60, 110, 1),
(61, 366, 1),
(62, 110, 2),
(63, 210, 10),
(64, 110, 2),
(65, 110, 1),
(66, 205, 10),
(67, 271, 10),
(68, 110, 2),
(69, 110, 1),
(70, 238, 10),
(71, 345, 1),
(72, 110, 1),
(73, 110, 3),
(74, 110, 2),
(75, 192, 10),
(76, 110, 1),
(77, 110, 3),
(78, 110, 2),
(79, 367, 10),
(80, 110, 2),
(81, 167, 10),
(82, 310, 10),
(83, 110, 2),
(84, 110, 1),
(85, 279, 10),
(86, 110, 1),
(87, 110, 3),
(88, 110, 2),
(89, 193, 10),
(1, 307, 10),
(2, 290, 10),
(3, 151, 10),
(4, 273, 1),
(5, 142, 10),
(6, 122, 3000),
(7, 197, 10),
(8, 122, 3000),
(9, 122, 2000),
(10, 337, 1),
(11, 341, 10),
(12, 122, 2000),
(13, 269, 10),
(14, 272, 10),
(15, 141, 1),
(16, 122, 3000),
(17, 122, 2000),
(18, 74, 10),
(19, 122, 2000),
(20, 122, 2000),
(21, 250, 1),
(22, 122, 3000),
(23, 122, 2000),
(24, 369, 1),
(25, 122, 3000),
(26, 368, 10),
(27, 122, 2000),
(28, 204, 1),
(29, 203, 10),
(30, 239, 10),
(31, 122, 2000),
(32, 88, 1),
(33, 117, 1),
(34, 96, 10),
(35, 122, 2000),
(36, 227, 10),
(37, 344, 10),
(38, 122, 2000),
(39, 208, 10),
(40, 122, 2000),
(41, 182, 10),
(42, 370, 10),
(43, 122, 3000),
(44, 215, 10),
(45, 122, 2000),
(46, 177, 1),
(47, 224, 10),
(48, 293, 10),
(49, 76, 10),
(50, 122, 3000),
(51, 134, 10),
(52, 371, 10),
(53, 274, 10),
(54, 122, 2000),
(55, 94, 10),
(56, 339, 10),
(57, 109, 10),
(58, 261, 10),
(59, 122, 2000),
(60, 178, 1),
(61, 72, 10),
(62, 122, 2000),
(63, 335, 10),
(64, 122, 2000),
(65, 336, 10),
(66, 223, 10),
(67, 214, 1),
(68, 122, 2000),
(69, 316, 1),
(70, 174, 10),
(71, 146, 1),
(72, 198, 10),
(73, 122, 3000),
(74, 122, 2000),
(75, 218, 1),
(76, 98, 1),
(77, 122, 3000),
(78, 122, 2000),
(79, 304, 10),
(80, 122, 2000),
(81, 311, 10),
(82, 137, 10),
(83, 122, 2000),
(84, 270, 1),
(85, 372, 1),
(86, 176, 1),
(87, 122, 3000),
(88, 122, 2000),
(89, 199, 1);
